date,year,sample_id,species_common,species_scientific,sp_code,sp_number,location_general,age,sex_field,weight,bag,bag_weight,actual_weight,beak,tarsus,tail,wing,head,hg_raw,hg,log_hg,carbon,nitrogen,log_n,julian,mean_julian,sd_julian,julian_z,hg_mean,hg_mean_species,mean_n,sd_n,nitrogen_s,mean_c,sd_c,carbon_s,mean_hg
2010-07-03,2010,TH2010_002,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,565,black,21,544,52.7,37.11,none,180,NA,396.0739,396.0739,2.597776225,-19.99,14.65,1.165837625,14793,16253.732394366198,908.8266683358663,-1.60727281148221,1.1259226551057848,1.1259226551057848,14.064871794871795,0.5305055771068111,1.102963343607595,-20.246410256410257,0.3728234179134532,0.6877525501088074,351.77718309859154
2010-07-03,2010,TH2010_005,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,590,black,21,569,50.08,37.06,none,180,NA,258.0477,258.0477,2.411699993,-19.93,14.72,1.16790781,14793,16253.732394366198,908.8266683358663,-1.60727281148221,0.7335543986310157,0.7335543986310157,14.064871794871795,0.5305055771068111,1.2349129460637187,-20.246410256410257,0.3728234179134532,0.8486866468342632,351.77718309859154
2010-07-05,2010,TH2010_035,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,none,NA,NA,NA,none,none,none,none,NA,252.12305,252.12305,2.401612552,NA,NA,NA,14795,16253.732394366198,908.8266683358663,-1.6050721718336594,0.7167123455228142,0.7167123455228142,14.064871794871795,0.5305055771068111,NA,-20.246410256410257,0.3728234179134532,NA,351.77718309859154
2010-07-05,2010,TH2010_036,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,530,black,21,509,53.17,37.41,none,175,NA,189.8225,189.8225,2.278347689,-19.98,14.06,1.147985321,14795,16253.732394366198,908.8266683358663,-1.6050721718336594,0.5396100404465375,0.5396100404465375,14.064871794871795,0.5305055771068111,-0.009183305665444112,-20.246410256410257,0.3728234179134532,0.7145748995630452,351.77718309859154
2010-07-27,2010,TH2010_092,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,female,520,black,21,499,48.66,37.34,none,170,NA,342.9687,342.9687,2.535254487,-19.8,15.07,1.178113252,14817,16253.732394366198,908.8266683358663,-1.5808651356996033,0.9749600499355787,0.9749600499355787,14.064871794871795,0.5305055771068111,1.8946609583443348,-20.246410256410257,0.3728234179134532,1.1973771897394223,351.77718309859154
2010-07-27,2010,TH2010_094,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,630,black,21,609,55.83,37.12,none,180,NA,377.1498,377.1498,2.576513882,-19.73,14.34,1.156549151,14817,16253.732394366198,908.8266683358663,-1.5808651356996033,1.0721269545623071,1.0721269545623071,14.064871794871795,0.5305055771068111,0.5186151041590479,-20.246410256410257,0.3728234179134532,1.3851336359191255,351.77718309859154
2010-07-27,2010,TH2010_097,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,600,black,21,579,48.87,38.2,none,185,NA,296.1447,296.1447,2.471503965,-19.64,14.31,1.155639634,14817,16253.732394366198,908.8266683358663,-1.5808651356996033,0.8418530656009046,0.8418530656009046,14.064871794871795,0.5305055771068111,0.4620652745349963,-20.246410256410257,0.3728234179134532,1.626534781007314,351.77718309859154
2010-07-27,2010,TH2010_101,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,620,black,21,599,53.58,38.97,none,192,NA,328.5908,328.5908,2.5166554,-19.71,14.16,1.151063253,14817,16253.732394366198,908.8266683358663,-1.5808651356996033,0.9340878709234158,0.9340878709234158,14.064871794871795,0.5305055771068111,0.17931612641473138,-20.246410256410257,0.3728234179134532,1.4387783348276109,351.77718309859154
2010-07-27,2010,TH2010_104,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,600,black,21,579,47.98,38.16,none,178,NA,324.2974,324.2974,2.510943467,-20.13,15.04,1.177247836,14817,16253.732394366198,908.8266683358663,-1.5808651356996033,0.9218829861091647,0.9218829861091647,14.064871794871795,0.5305055771068111,1.8381111287202798,-20.246410256410257,0.3728234179134532,0.3122396577494009,351.77718309859154
2010-07-30,2010,TH2010_319,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,560,red,14,546,51.27,37.65,none,181,NA,191.4292,191.4292,2.282008184,-19.81,14.58,1.163757524,14820,16253.732394366198,908.8266683358663,-1.5775641762267776,0.5441774202460105,0.5441774202460105,14.064871794871795,0.5305055771068111,0.9710137411514711,-20.246410256410257,0.3728234179134532,1.1705548402851844,351.77718309859154
